"Date","Transaction","Name","Memo","Amount"
"2023-02-03","DEBIT","WAL-MART #1234     SE2 CITY    STATE","12345678910111213141516; 12345; ; ; ;","-88.64"
"2023-02-03","DEBIT","MURPHY1234ATWALMART    CITY    STATE","12345678910111213141516; 12345; ; ; ;","-40.48"
"2023-02-06","DEBIT","FAKE COUNTY CLERK CITY      STATE","12345678910111213141516; 12345; ; ; ;","-146.19"
"2023-02-07","DEBIT","AMAZON.COM*1234 A AMZN.COM/BILL WA","12345678910111213141516; 12345; ; ; ;","-23.21"
"2023-02-07","DEBIT","MURPHY1234ATWALMART    CITY    STATE","12345678910111213141516; 12345; ; ; ;","-37.78"
"2023-02-08","DEBIT","WAL-MART #1234         CITY    STATE","12345678910111213141516; 12345; ; ; ;","-4.68"
"2023-02-09","CREDIT","MOBILE PAYMENT THANK YOU","*M0000; 00000; ; ; ;","412.11"
"2023-02-09","DEBIT","AMZN Mktp US*1234 Amzn.com/bill WA","12345678910111213141516; 12345; ; ; ;","-12.07"
"2023-02-10","DEBIT","COSTCO GAS #1234       CITY    STATE","12345678910111213141516; 12345; ; ; ;","-40.42"
"2023-02-14","DEBIT","MURPHY1234ATWALMART    CITY    STATE","12345678910111213141516; 12345; ; ; ;","-33.40"
"2023-02-16","CREDIT","MOBILE PAYMENT THANK YOU","*M0000; 00000; ; ; ;","85.89"
"2023-02-21","DEBIT","MURPHY1234ATWALMART    CITY    STATE","12345678910111213141516; 12345; ; ; ;","-29.44"
"2023-02-24","DEBIT","SPEEDWAY 1234 LOUISVI CITY    STATE","12345678910111213141516; 12345; ; ; ;","-40.58"
"2023-02-24","DEBIT","HOME TOOLS 4 CITY    STATE","12345678910111213141516; 12345; ; ; ;","-50.85"
"2023-02-27","CREDIT","INTERNET PAYMENT THANK YOU","*W0000; 00000; ; ; ;","120.87"
